Producto 20226: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20227: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20228: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20230: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20231: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20232: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20233: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20234: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20235: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20237: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20238: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20239: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20240: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20241: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20242: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20244: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20246: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20249: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20251: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20252: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20253: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20254: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20255: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20256: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20259: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20262: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20263: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20264: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20265: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20266: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20267: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20268: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20269: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20270: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20271: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20272: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20273: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20275: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20276: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20277: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20278: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20280: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20281: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20282: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20283: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20284: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20285: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20288: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20289: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20290: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20291: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20292: mejor modelo = regresion, MAE sep-nov = 0.0000
