Producto 20211: MAEs - LGBM=22.4835, Reg=22.0882, ARIMA=9.8590, AutoGluon=inf, XGB=inf
Producto 20212: MAEs - LGBM=6.4997, Reg=4.0301, ARIMA=13.4356, AutoGluon=inf, XGB=inf
Producto 20215: MAEs - LGBM=7.2470, Reg=1.1947, ARIMA=9.1508, AutoGluon=inf, XGB=inf
Producto 20216: MAEs - LGBM=24.7420, Reg=28.0591, ARIMA=11.2607, AutoGluon=inf, XGB=inf
Producto 20218: MAEs - LGBM=2.7795, Reg=2.0165, ARIMA=3.6855, AutoGluon=inf, XGB=inf
Producto 20219: MAEs - LGBM=7.5302, Reg=3.4266, ARIMA=4.3085, AutoGluon=inf, XGB=inf
Producto 20220: MAEs - LGBM=9.9818, Reg=7.9849, ARIMA=7.2031, AutoGluon=inf, XGB=inf
Producto 20222: MAEs - LGBM=8.8343, Reg=10.6041, ARIMA=3.3588, AutoGluon=inf, XGB=inf
Producto 20224: MAEs - LGBM=7.8930, Reg=11.3611, ARIMA=14.0353, AutoGluon=inf, XGB=inf
Producto 20225: MAEs - LGBM=5.5921, Reg=6.1886, ARIMA=7.0633, AutoGluon=inf, XGB=inf
Producto 20226: MAEs - LGBM=16.7273, Reg=12.2567, ARIMA=11.6845, AutoGluon=inf, XGB=inf
Producto 20227: MAEs - LGBM=10.6868, Reg=1.5580, ARIMA=28.3139, AutoGluon=inf, XGB=inf
Producto 20228: MAEs - LGBM=24.4169, Reg=18.8890, ARIMA=3.8605, AutoGluon=inf, XGB=inf
Producto 20230: MAEs - LGBM=3.0053, Reg=3.1917, ARIMA=3.4461, AutoGluon=inf, XGB=inf
Producto 20231: MAEs - LGBM=6.3326, Reg=5.8725, ARIMA=1.4414, AutoGluon=inf, XGB=inf
Producto 20232: MAEs - LGBM=0.7907, Reg=8.0921, ARIMA=11.0096, AutoGluon=inf, XGB=inf
Producto 20233: MAEs - LGBM=10.8634, Reg=18.3894, ARIMA=13.0654, AutoGluon=inf, XGB=inf
Producto 20234: MAEs - LGBM=20.9678, Reg=5.9257, ARIMA=6.7764, AutoGluon=inf, XGB=inf
Producto 20235: MAEs - LGBM=6.7653, Reg=4.5183, ARIMA=20.9009, AutoGluon=inf, XGB=inf
Producto 20237: MAEs - LGBM=18.2327, Reg=6.0082, ARIMA=16.5148, AutoGluon=inf, XGB=inf
Producto 20238: MAEs - LGBM=8.1378, Reg=5.5339, ARIMA=4.7509, AutoGluon=inf, XGB=inf
Producto 20239: MAEs - LGBM=1.8178, Reg=3.1225, ARIMA=1.8683, AutoGluon=inf, XGB=inf
Producto 20240: MAEs - LGBM=4.0927, Reg=0.0002, ARIMA=2.6285, AutoGluon=inf, XGB=inf
Producto 20241: MAEs - LGBM=12.3783, Reg=6.5102, ARIMA=11.4618, AutoGluon=inf, XGB=inf
Producto 20242: MAEs - LGBM=24.9475, Reg=26.2232, ARIMA=11.5327, AutoGluon=inf, XGB=inf
Producto 20244: MAEs - LGBM=4.0055, Reg=8.4487, ARIMA=6.1566, AutoGluon=inf, XGB=inf
Producto 20246: MAEs - LGBM=0.6157, Reg=2.0325, ARIMA=1.7823, AutoGluon=inf, XGB=inf
Producto 20249: MAEs - LGBM=14.6975, Reg=2.9673, ARIMA=2.5549, AutoGluon=inf, XGB=inf
Producto 20251: MAEs - LGBM=8.7649, Reg=7.2802, ARIMA=2.8804, AutoGluon=inf, XGB=inf
Producto 20252: MAEs - LGBM=11.5354, Reg=6.4359, ARIMA=13.5234, AutoGluon=inf, XGB=inf
Producto 20253: MAEs - LGBM=7.8710, Reg=5.0235, ARIMA=7.9795, AutoGluon=inf, XGB=inf
Producto 20254: MAEs - LGBM=6.5021, Reg=8.2623, ARIMA=6.4024, AutoGluon=inf, XGB=inf
Producto 20255: MAEs - LGBM=8.5816, Reg=7.4717, ARIMA=0.3655, AutoGluon=inf, XGB=inf
Producto 20256: MAEs - LGBM=4.1831, Reg=1.7576, ARIMA=2.5712, AutoGluon=inf, XGB=inf
Producto 20259: MAEs - LGBM=8.6523, Reg=0.9041, ARIMA=2.6834, AutoGluon=inf, XGB=inf
Producto 20262: MAEs - LGBM=0.1953, Reg=2.8397, ARIMA=1.9664, AutoGluon=inf, XGB=inf
Producto 20263: MAEs - LGBM=1.1905, Reg=0.2873, ARIMA=0.0061, AutoGluon=inf, XGB=inf
Producto 20264: MAEs - LGBM=8.1305, Reg=7.2615, ARIMA=4.3945, AutoGluon=inf, XGB=inf
